sampleID,read_count,p_Proteobacteria,c_Betaproteobacteria,c_Clostridia,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Acidaminococcus,g_Acinetobacter,g_Actinobacillus,g_Actinobaculum,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacillus,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Campylobacter,g_Citrobacter,g_Collinsella,g_Corynebacterium,g_Cupriavidus,g_Dermabacter,g_Dialister,g_Dorea,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gemella,g_Granulicatella,g_Haemophilus,g_Helcobacillus,g_Helcococcus,g_Helicobacter,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kocuria,g_Lachnoclostridium,g_Lachnospira,g_Lactobacillus,g_Lactococcus,g_Leptotrichia,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Olsenella,g_Parabacteroides,g_Parvimonas,g_Pasteurella,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Pseudarthrobacter,g_Pyramidobacter,g_Rhizobium,g_Romboutsia,g_Roseburia,g_Rothia,g_Serratia,g_Slackia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_copri,Prevotella_corporis,Prevotella_denticola,Prevotella_disiens,Prevotella_histicola,Prevotella_melaninogenica,Prevotella_nanceiensis,Prevotella_oris,Prevotella_stercorea,Prevotella_timonensis,Prevotella_veroralis,Shuttleworthia_satelles,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR062806,3772,2,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,90,0,0,0,0,15,0,0,0,0,0,0,0,0,3655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037382067879392824,0.03155922497232876,0.027067706914196733,0.4826286172118048,0.3542945674086401,0.027333555406605665,0.0573111497242476,0.03693775414627225,0.017450700315814336,0.007315902252739687,0.0019357115492611057,0.06529476212195875,0.12419000160381201,III-A,0.4826286172118048,III
SRR062805,1880,6,1,8,0,0,10,0,0,0,0,0,4,72,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,26,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,3,72,1,0,0,0,0,0,0,0,0,0,1,0,0,17,0,107,0,1,0,0,0,0,3,0,0,0,0,0,0,1405,25,0,0,23,0,0,1,0,9,0,0,0,0,0,39,0,0,1,0.004096593637299355,0.03660052375482715,0.032301372644856226,0.5255559472203946,0.4262004165551422,0.035290187100758805,0.07229812712180626,0.05654282192218682,0.03805051789322429,0.009709104869564854,0.00665645356004949,0.08349295730912627,0.1523383590211156,III-A,0.5255559472203946,III
SRR062771,2529,1,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,0,0,0,8,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0.0037152552425316447,0.031225507835805997,0.02672125052053968,0.4788790742000596,0.3497985508867096,0.027152191234276372,0.05662419288328842,0.036062578674229434,0.010741547540123813,0.006843561771174198,0.0006950479340824654,0.06373587414452093,0.12274542233563987,III-A,0.4788790742000596,III
SRR062835,2756,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,144,0,0,2471,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022942080622699246,0.04913509156592406,0.02616379527086074,0.45501234783321565,0.3441280803571688,0.026541756479003222,0.055863931451538,0.03658432614908608,0.010215250080835911,0.008450812457662243,0.0006531594315348416,0.06258685404136151,0.13223534640954346,III-A,0.45501234783321565,III
SRR062818,1865,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,1467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0883575542241567,0.10744866069755321,0.02472784037927094,0.4048614399760688,0.33008201405186427,0.025054629388968814,0.05332564247208714,0.03834099643004479,0.010144146801339318,0.009860806643140332,0.0008491661971849833,0.0588811050659224,0.11506146668980345,III-A,0.4048614399760688,III
SRR062680,2058,0,0,2,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,49,0,0,1972,3,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0.012000358898590684,0.03876335364698348,0.026604569061083858,0.4727622557400824,0.3495316304901106,0.027014742871857813,0.05651987907397717,0.03631259722201867,0.01072160261428445,0.007177136913838875,0.0006844196684629867,0.06350756612636141,0.1229073380591988,III-A,0.4727622557400824,III
SRR062761,2548,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,1,0,2,2527,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038303423799830242,0.031087289888320317,0.0266628521439785,0.47460128079231967,0.34566020614440607,0.026692613672145052,0.055865088705144804,0.03527428507874582,0.010383700059601491,0.006774716987155416,0.0005938909155002314,0.06302034451506427,0.12147266315912002,III-A,0.47460128079231967,III
SRR063004,576,0,0,89,0,1,0,0,2,0,0,0,1,374,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,15,6,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,13,1,0,2,374,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,8,1,168,0,0,116,3,0,0,0,0,0,0,0,0,87,0,0,31,0.00015420586690959706,0.0016047565211118893,0.0031622829226701306,0.007118942126300541,0.008113623503730932,0.035023036842787625,0.021453764521165954,0.010949322483403684,0.002298502781897983,0.0005941395415564711,0.0007884031157583392,0.003189407558102576,0.004904825412829739,IV-A,0.035023036842787625,IV-A
SRR062972,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036884237436774305,0.030868622884979015,0.026362188899507727,0.47396417707735955,0.34440536068499195,0.026577317571837688,0.05562719170190101,0.03505337195695229,0.010126026367805666,0.0067319702806103365,0.0005424780356279177,0.06277845045132802,0.12106647226516623,III-A,0.47396417707735955,III
SRR062740,1548,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004412850996299183,0.03340121721611808,0.025235527264413395,0.4287710814755034,0.3244934635235258,0.025633362105907175,0.053916572043027175,0.03477722566732342,0.009746030218998333,0.006730492082978732,0.0006435713117985116,0.06050658071888881,0.17036689090937107,III-A,0.4287710814755034,III
