sampleID,read_count,d_Eukaryota,p_Proteobacteria,c_Clostridia,o_Clostridiales,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,f_Ruminococcaceae,g_Acidaminococcus,g_Acinetobacter,g_Actinobacillus,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Akkermansia,g_Alistipes,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacillus,g_Bacteroides,g_Bergeyella,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Campylobacter,g_Catonella,g_Collinsella,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dermabacter,g_Dialister,g_Dorea,g_Enhydrobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gallicola,g_Gemella,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Helcobacillus,g_Helcococcus,g_Helicobacter,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kocuria,g_Lachnoclostridium,g_Lachnospira,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Leptotrichia,g_Leucobacter,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Oligella,g_Olsenella,g_Parabacteroides,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Proteus,g_Pseudarthrobacter,g_Pyramidobacter,g_Ralstonia,g_Romboutsia,g_Roseburia,g_Rothia,g_Senegalimassilia,g_Shewanella,g_Slackia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trichococcus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,g_Weeksella,Atopobium_deltae,Atopobium_parvulum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Prevotella_amnii,Prevotella_bivia,Prevotella_buccalis,Prevotella_corporis,Prevotella_disiens,Prevotella_nanceiensis,Prevotella_oris,Prevotella_timonensis,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR18691297,185666,0,146,874,0,402,0,1768,14,22,0,0,0,0,251,14,0,0,0,396,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,23,0,0,1746,0,0,0,40,11,0,5,30,33,14,154,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,181316,0,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,22,251,0,0,0,0,0,0,0,0,0,0,9,0,10,19,22,0,0,6,0,0,0,0,38,0,0,0,0,0,0,41,0,0,0,85,0,0,0,64,0,0,0,82,0,0.0031626727406161535,0.009087373994864601,0.00024245124242612244,0.000459725840393745,0.0034843873737532955,0.00018258300955169938,0.0003033555815605023,0.00044572658973235607,5.6791859589052565e-05,6.419431629658498e-05,4.2883448016178134e-05,0.0001949511849160152,0.0013996620416946018,I-B,0.009087373994864601,I
SRR18691298,190783,0,154,4189,15,789,0,2652,0,295,0,0,0,36,1816,105,0,0,0,987,0,0,0,0,0,28,1286,0,0,8,0,39,0,17,35,49,0,145,0,0,2564,0,0,0,395,16,0,0,131,0,61,978,17,0,0,0,0,0,0,0,222,0,37,19,0,0,24,8,178989,0,88,0,0,12,0,7,12,6,3,0,0,0,0,0,0,0,0,14,912,20,0,94,1634,0,0,0,0,0,25,0,0,0,0,12,0,0,54,0,50,19,34,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,113,0,0,274,722,0,0,0,192,12,0.00317239769849513,0.009296256873541648,0.00042632316719076334,0.000564674044353162,0.0037211481005546255,0.0005564337545516787,0.0005636149274457727,0.0016836675634203057,0.0003692128784387109,8.94843481679839e-05,0.00025846794012094915,0.00040219975558720934,0.0015566439204315883,I-B,0.009296256873541648,I
SRR18691299,162728,0,117,197,0,5,0,68,13,32,905,6,12,4,104,24,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,68,0,0,0,17,0,0,0,0,0,10,110,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,159564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,104,0,0,0,0,0,0,0,0,0,0,7,0,0,54,0,25,0,0,0,0,0,905,0,0,0,0,0,0,9,44,20934,0,0,59,0,101,0,0,0,0,0,0,0,0.07310492609671211,0.07571092590268026,0.0007746805232120367,0.0006167685202228372,0.015154486870337231,0.0002920199859184266,0.0015151372485906376,0.005351844140747299,0.0009102646467829382,0.0033929138332331843,0.0003695613075252416,0.0011071370684549034,0.004652877341509958,I-B,0.07571092590268026,I
SRR18691300,121571,0,364,4868,0,0,0,458,339,68,2314,0,25,67,12843,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,32,0,0,0,0,0,0,458,0,0,0,503,0,0,9,0,0,0,3306,0,0,0,15,0,0,25,0,0,0,56,0,134,0,0,0,96587,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,67,0,0,12843,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,1344,0,0,0,0,0,2314,0,0,38,0,0,0,0,21,5226,0,0,31,0,6684,0,0,0,0,0,0,0,0.03005481048298941,0.03720405953026468,0.0013699363033626982,0.0006503013965972972,0.009599426678059766,0.005639981480198386,0.0032216667293408843,0.0109242859974071,0.008005842000167275,0.002478080885726113,0.0032752435554768995,0.005406230816100496,0.003546612559053112,I-B,0.03720405953026468,I
SRR18691301,212727,0,35,265,0,0,0,361,14,111,2030,0,0,0,49,39,0,4,0,0,0,0,0,13,0,0,0,0,17,0,0,127,0,35,38,0,0,0,0,0,361,0,0,0,6,9,0,0,0,0,30,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,193191,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,8,0,39,0,0,0,0,0,0,0,0,0,0,26,0,0,403,0,84,0,0,0,0,0,2030,0,0,0,0,0,0,13,12357,15282,0,0,66090,22,0,0,0,0,0,0,6,0,0.0427931368006606,0.06129721619186077,0.018205666439386006,0.19241128647368555,0.1854682132395175,0.02690653414315579,0.054323765802799164,0.027466120501589412,0.007158708047594964,0.006284058037581267,0.0007628212974916157,0.03937434311081255,0.07230178200256249,III-A,0.19241128647368555,III
SRR18691302,169014,0,184,7807,0,146,0,6397,23,63,646,103,0,58,1122,0,0,0,0,0,0,0,0,0,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,6393,0,0,0,245,0,0,23,0,0,0,3345,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,140853,0,4,0,0,15,146,0,0,0,0,0,0,0,0,0,0,0,3,0,2056,58,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,10254,0,19,0,0,0,0,0,646,2,0,159,0,0,0,6,565,13427,0,0,38881,0,543,0,0,0,0,0,41,0,0.05149056319948699,0.06934274270825685,0.01356791022785239,0.15213946206536333,0.15413267021290367,0.015747687268487392,0.032661256816553186,0.029474574408473675,0.0067083829315429345,0.00803896316380889,0.0032028969400210404,0.0638621556666755,0.05990369612174493,III-B,0.15413267021290367,III
SRR18691303,188409,0,11,135,0,27,0,425,6,14,370,0,5,0,240,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,425,0,0,0,8,0,0,0,0,0,0,73,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,184958,0,0,0,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1017,0,0,0,0,0,370,8,0,11,0,0,0,0,57,6210,0,0,112388,15,85,0,0,0,0,0,18,0,0.01833440059867299,0.0418285189117349,0.02192993630521829,0.33803732976319356,0.2767070769579156,0.02322822328883371,0.04859016648214951,0.03260756327776355,0.010602443929690345,0.006401283338340466,0.0009433313372137888,0.05346025024339615,0.10102101356195224,III-A,0.33803732976319356,III
SRR18691304,207165,0,34,5194,0,1044,0,2689,0,26,19,34,0,376,1954,0,3,0,0,39,0,550,0,0,0,0,1350,0,0,0,0,0,0,0,0,69,0,165,0,0,2588,0,0,56,493,0,0,0,299,0,0,1422,0,0,61,0,0,0,0,0,38,0,16,0,0,0,0,0,184344,0,101,0,0,12,0,16,0,3,19,0,0,0,0,0,0,0,0,9,1428,376,0,114,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,61,0,0,0,0,0,19,19,0,0,0,19,0,16,7121,0,0,0,175569,17,194,62,221,159,0,0,691,0,0.0038879234730610497,0.03313092535264967,0.029568039995529295,0.49140914740141134,0.3781653674398108,0.03369037043576369,0.06957805350826836,0.04091644939076062,0.01138555382031296,0.00740847526810471,0.0008250772514164562,0.06936524723630882,0.1323750993070997,III-A,0.49140914740141134,III
SRR18691305,212865,0,91,835,0,195,0,1578,0,16,17,30,0,0,148,0,0,0,0,0,0,20,0,0,0,0,203,0,0,0,0,0,0,8,0,0,0,119,0,0,1578,0,0,73,52,0,0,12,74,0,0,181,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,206705,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,44,148,0,0,0,0,0,0,0,0,0,0,0,0,5,1597,20,83,0,0,0,0,0,17,0,0,0,0,0,0,0,126,0,0,0,198466,21,20,0,0,0,0,0,59,0,0.003765188092227883,0.031377053245431295,0.026688476380311566,0.4730512747804385,0.35002224515160396,0.027260524172514553,0.057044547903112065,0.03622173758720581,0.010417284714012195,0.006976166133550962,0.0007463297614207305,0.06592812122089596,0.1229666638877099,III-A,0.4730512747804385,III
SRR18691307,243443,0,38,2107,0,67,0,698,5,25,0,7,0,11,602,7,0,5,0,0,0,134,0,0,0,0,561,0,0,0,0,4,0,0,8,5,0,52,0,0,675,0,0,13,90,0,15,0,6,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235000,0,23,0,0,27,0,0,6,0,7,0,0,0,0,0,10,0,0,6,452,11,0,24,393,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,72,0,0,0,0,0,0,30,0,8,0,0,0,0,1704,0,0,0,223376,16,48,46,27,51,0,0,159,0,0.003784398586210512,0.03150750851014076,0.026986749687370137,0.47220560855750626,0.35131804462473365,0.028064115131285816,0.0585816101610248,0.03666920437940935,0.010464125758535534,0.006900911757841973,0.0006626555603809647,0.06478354286007842,0.12352948736951895,III-A,0.47220560855750626,III
