sampleID,read_count,d_NA,p_Proteobacteria,c_Clostridia,o_Clostridiales,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,f_Ruminococcaceae,g_Acidaminococcus,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Campylobacter,g_Collinsella,g_Corynebacterium,g_Dermabacter,g_Dialister,g_Dorea,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gallicola,g_Gemella,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Helcococcus,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kocuria,g_Lachnoclostridium,g_Lactobacillus,g_Lawsonella,g_Leptotrichia,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Oligella,g_Olsenella,g_Parabacteroides,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Pyramidobacter,g_Ralstonia,g_Romboutsia,g_Roseburia,g_Rothia,g_Sneathia,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_corporis,Prevotella_disiens,Prevotella_timonensis,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR905157,10931,0,0,32,7,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6914,0,0,0,29,0,0,0,0,5,0,0,0,0,0,0.36092226797339466,0.32327934630378063,0.0022547003985084017,0.0010506930997054799,0.04846236433674489,0.000640525522578701,0.004641444810562538,0.018163905479821593,0.0035001836478134596,0.012904924790938951,0.0013242378249097224,0.0032284355969923956,0.014283792474542001,I-A,0.36092226797339466,I
SRR905158,6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4317,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.363595193427205,0.32464113580954457,0.0022329832625910275,0.0010599202699718923,0.04855156531801142,0.0006135240560299287,0.004614550046159131,0.01799999807850569,0.0030866953550900047,0.012917841233489219,0.0012338022871964374,0.0031833234451428996,0.014562578571399785,I-A,0.363595193427205,I
SRR905159,8730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5555,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0.36080277769929564,0.3227454807889698,0.002235835286429058,0.0011150578054148009,0.04839623332397844,0.0006122364382835173,0.0046085523019678476,0.01796919238798311,0.003202821618594674,0.012872660492633631,0.0012565473565920259,0.0032015642101686117,0.01585455269905509,I-A,0.36080277769929564,I
SRR905160,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5326,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0.3606654865310618,0.32264972626423843,0.002236207423101897,0.001091929636028408,0.04837848530501331,0.0006128434648068838,0.004607860286405836,0.017985888306400293,0.003380563288742851,0.012879031406828223,0.0012904167069531043,0.0032134199535038613,0.015295484810171735,I-A,0.3606654865310618,I
SRR905161,10138,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3633718431702592,0.3244721063660385,0.002228774480167634,0.0010130435539658104,0.04851140079954366,0.00061390501957281,0.004610011817641045,0.018008357712725836,0.00322585084799954,0.012917629792377195,0.0012589552677733083,0.0031841722338310507,0.013467879001340149,I-A,0.3633718431702592,I
SRR905162,4590,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3522067668965179,0.3162196759154778,0.0021988563210454,0.0009979525330139445,0.04763609206267419,0.000607149743273497,0.00454554082069895,0.01779384773486452,0.003270065853782117,0.012667055570535352,0.0012598547940808403,0.003141986686952626,0.013251479040615867,I-A,0.3522067668965179,I
SRR905163,6330,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3535534358766335,0.31801489169068087,0.0022449171323018885,0.0010090717292565781,0.04791204103005995,0.000633740696514574,0.004610499051595692,0.018110819236759966,0.003890709468091437,0.012766436640030712,0.0013982826895713714,0.0032347533576493476,0.013333826741414924,I-A,0.3535534358766335,I
SRR905164,8679,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0.35222777757057566,0.31652713088121903,0.002215202235354133,0.0011480719230348025,0.047764314001667814,0.0006059098390864613,0.004560463675708426,0.017786868558168956,0.0030391976386159995,0.012675520335551232,0.0012200244565570666,0.0031631779025160585,0.016749746351972104,I-A,0.35222777757057566,I
SRR905165,7029,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4299,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.35086927100781756,0.3157901847485257,0.002317974392519017,0.0010010862681924327,0.04763977690404178,0.0006273488959995113,0.004568206275553938,0.017900397708295712,0.0034644015814551473,0.012671725231763593,0.0013050011234002473,0.003170528425510547,0.013265370162493918,I-A,0.35086927100781756,I
SRR905166,8474,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5449,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0.3647225328006434,0.3259154364214204,0.0022538718111197627,0.001157683393264441,0.048767133996585735,0.0006159208212895299,0.0046434013532658264,0.018085167899440906,0.0031035373472875914,0.012967558794956355,0.0012432603393707712,0.0032217403694192195,0.016808714528527956,I-A,0.3647225328006434,I
