sampleID,read_count,p_Proteobacteria,c_Betaproteobacteria,c_Clostridia,o_Micrococcales,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Actinobaculum,g_Actinomyces,g_Aerococcus,g_Alistipes,g_Anaerococcus,g_Arcanobacterium,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Campylobacter,g_Corynebacterium,g_Delftia,g_Dialister,g_Dorea,g_Enterococcus,g_Ezakiella,g_Faecalibacterium,g_Finegoldia,g_Fusobacterium,g_Gemella,g_Haemophilus,g_Lactobacillus,g_Megasphaera,g_Mobiluncus,g_Moryella,g_Mycoplasma,g_Neisseria,g_Parabacteroides,g_Parvimonas,g_Peptoniphilus,g_Peptostreptococcus,g_Porphyromonas,g_Prevotella,g_Roseburia,g_Slackia,g_Sneathia,g_Staphylococcus,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_minutum,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_disiens,Prevotella_melaninogenica,Prevotella_timonensis,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
X1236,717,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,10,59,0,0,0,0,0,0,0,0,0.4704823109070489,0.40165323179113893,0.0030983070623913003,0.0070673624272741585,0.061152487188336456,0.0011141475022229854,0.006187020627795777,0.020961906226473873,0.003843091818935748,0.015344083487941616,0.0015027868105045507,0.004841195677555605,0.038762238735438714,I-A,0.4704823109070489,I
X1206,1470,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1444,0,12,4,0,0,0,0,2,0,0,0,0.49272134293934816,0.40904767392290586,0.002802275163425684,0.0038833231925292353,0.058912244779309175,0.0009417333499853043,0.0056667116410029075,0.020369275908152313,0.0037506550620529373,0.015405108737194018,0.001463063807418063,0.0041607651768729905,0.016959359832699864,I-A,0.49272134293934816,I
X1253,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1222,0,0,109,0,0,0,0,0,0,0,3,0.4722403111626382,0.39921059743756954,0.00268151602115731,0.0020676286648725274,0.05637293113985568,0.0007346643755277338,0.0053558681802613325,0.02014967324314808,0.0036730801058907046,0.015177739343686613,0.001487083350917978,0.0038739019805922106,0.03582691610194282,I-A,0.4722403111626382,I
X1316,755,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,722,16,0,0,0,0,0,0,0,0,0.004727211353472436,0.03244431908703644,0.02666135685382451,0.4747168219764609,0.3492373921039626,0.027120608552551603,0.05681206619353829,0.03587522463981986,0.01024367082637523,0.006873773632328758,0.0005672013236569117,0.0636689089478398,0.1288762716025493,III-A,0.4747168219764609,III
X1298,799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,2,69,1,0,0,0,0,0,0,0,0,0.4685619761041131,0.3983589040990774,0.005649521097265219,0.03166064975312113,0.08222228823634047,0.003111727064703071,0.010131373375316508,0.023101816814329296,0.0045215195001464285,0.015600395541346,0.0014780129201318215,0.009168431450783443,0.025836015777274048,I-A,0.4685619761041131,I
X1300,610,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,34,0,0,0,0,0,0,0,0,0,0.4829997958610994,0.4082596043454424,0.004122459994999372,0.020673630310857366,0.0737358325038795,0.0022640760104003363,0.00846313122174457,0.022344486077868597,0.00424999600355412,0.0156782879881185,0.0014821099706421909,0.00725688976769963,0.022093579497398205,I-A,0.4829997958610994,I
X1146,1366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,15,6,0,0,0,0,0,0,0,0,0.4900622828103174,0.4066832581587887,0.0028647567641665855,0.004806909756299861,0.05944699180666757,0.0009728062237045959,0.005780067990577183,0.02034582197183847,0.0037632257887637213,0.015354208787660419,0.0014586892974634477,0.004313218050891905,0.01758313600449833,I-A,0.4900622828103174,I
X1241,921,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,1,43,0,0,0,0,0,0,0,0,0,0.4815751402708169,0.40385708540961796,0.004111669164808477,0.016972762974745287,0.06984564480765174,0.0019492777304673952,0.007766028403275485,0.021624541893645606,0.004115404516968074,0.015500743840532717,0.001468158886558677,0.006529174916072041,0.020664643273337894,I-A,0.4815751402708169,I
X1240,883,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,864,0,2,7,0,0,0,0,0,0,0,0,0.4941034405866687,0.41053307718818477,0.002664114996176407,0.002006829821302934,0.05744763508563069,0.000829820912175678,0.005397957771215136,0.020267242074833828,0.003706329990461828,0.01542164637646917,0.0014680764129435576,0.0038333135581120202,0.01758967946921033,I-A,0.4941034405866687,I
X1261,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,2,0.003695005186013283,0.030959013588159865,0.026445554288857594,0.47535469878661635,0.34590251168443037,0.026717313923394884,0.05591404546161954,0.03522603902504911,0.01015924299447352,0.00675362904863458,0.0005500066574562973,0.06302429271262312,0.12152715098279239,III-A,0.47535469878661635,III
