sampleID,read_count,d_Eukaryota,p_Proteobacteria,c_Clostridia,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Acinetobacter,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Anaerococcus,g_Anaeroglobus,g_Arcanobacterium,g_Bacteroides,g_Bulleidia,g_Campylobacter,g_Citrobacter,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dialister,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Finegoldia,g_Fusobacterium,g_Gallicola,g_Gemella,g_Granulicatella,g_Haemophilus,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kluyvera,g_Kocuria,g_Lachnoclostridium,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Ralstonia,g_Rothia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_disiens,Prevotella_timonensis,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR2915517,6967,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5677,0,0,0,0,0,0,0,0,0,0.0038459558382246207,0.030735509349904606,0.02548132389166776,0.4349391467651227,0.3312157504425416,0.026351075099459987,0.05512895198761636,0.03537908387374276,0.009802593666797015,0.01375220396386614,0.0005708251049241109,0.06172414318264121,0.11768734912577795,III-A,0.4349391467651227,III
SRR2915518,6712,0,0,4,0,0,0,0,0,4,0,0,0,33,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5424,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,88,8,0,0,0,5270,0,0,33,0,0,0,0,0,0,0.0038967539617038166,0.03414347044220282,0.02940882414754245,0.508792708327853,0.4017011582271121,0.03914338561540877,0.07211096228793953,0.04341465934600904,0.011341889095840482,0.007734104627897377,0.0009594126503584242,0.0725267674305143,0.1386491283526926,III-A,0.508792708327853,III
SRR2915519,5693,0,0,0,0,0,5,0,0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,35,0,0,0,2965,0,0,0,0,0,0,0,0,0,0.003720742803739515,0.03297362245136844,0.027947550000789724,0.41380900220528843,0.37034727793118316,0.03325979251252594,0.06941765982080879,0.05167756843040399,0.011424394565855497,0.2275849550878578,0.0017267945448556817,0.0786089170971046,0.13194211786229898,III-A,0.41380900220528843,III
SRR2915520,8208,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7971,0,0,0,0,0,0,0,0,0,0.0037150133402089674,0.030850263910066407,0.026230920948240106,0.4681931574935578,0.3424126599821598,0.02653251105547722,0.055531160686382045,0.0350512359302688,0.010073099702427268,0.006698127536949437,0.0005399213073502176,0.06256580587353351,0.12055112703642226,III-A,0.4681931574935578,III
SRR2915521,6708,0,0,185,2,0,0,0,0,0,0,0,0,1597,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,176,0,3,0,0,0,0,0,0,22,0,2,0,0,0,1597,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,3031,0,0,0,0,571,0,1238,0,0,0,0,84,566,0,0.0007498258513114258,0.008552282181851127,0.011117831691183286,0.068052059873002,0.07787203803914622,0.08919895143175777,0.15054720425958037,0.021872391650974474,0.003707575928012026,0.004762804665739858,0.0005325190973468072,0.024022422709145744,0.0362256445236745,IV-B,0.15054720425958037,IV-B
SRR2915522,6632,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6630,0,0,0,0,0,0,0,0,0,0.0036889042659218286,0.030874548516493752,0.026367834840766883,0.47405198843347535,0.344499405375082,0.026584415168769946,0.05564259018559116,0.035064415046921246,0.010128136461113863,0.006733296571402598,0.000542593528967614,0.06279379295620038,0.1210955274444016,III-A,0.47405198843347535,III
SRR2915523,11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11024,0,0,0,0,0,0,0,0,0,0.0036891730921723535,0.03086791132057552,0.02635825317140408,0.47379755377715815,0.344345477759437,0.02657576340834548,0.05562384762831734,0.035052822468518346,0.010124445476949457,0.006730964116390663,0.0005424010848018772,0.06277184394523257,0.12105080374529363,III-A,0.47379755377715815,III
SRR2915524,8060,0,0,669,0,0,0,0,0,0,0,0,0,4041,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,52,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,20,0,0,292,0,0,0,0,0,0,0,0,50,0,28,0,0,0,4041,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,20,0,4023,0,9,0,0,9,72,0,4.409983983730847e-05,0.0007296634655837857,0.0017791970937668857,0.0015069048220781411,0.003769006098325495,0.04741013746700325,0.04361394416966306,0.004835111459879892,0.0007166153114610001,0.0011456100161535388,0.00023932164881925111,0.0026135357754605015,0.002627513284243235,IV-A,0.04741013746700325,IV-A
SRR2915525,6187,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,6130,0,0,0,0,0,0,0,7,0,0.0037016691994996164,0.031044251753002416,0.026525948018852726,0.47662953500988353,0.3472875219877357,0.026801653662570646,0.056120984193789546,0.035387617692378484,0.010191737419087498,0.006772043098578865,0.0005652110574536087,0.06324925947356139,0.12195392206449893,III-A,0.47662953500988353,III
SRR2915526,10399,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,108,3,0,0,0,10252,0,0,0,0,0,0,0,0,0,0.0037083926107200653,0.031135768155461378,0.02664301120832131,0.477655609502784,0.3486141066978505,0.02720506474547071,0.057031538045018225,0.0355771451718653,0.01047064225024093,0.006829360111216639,0.0005977821626170418,0.06353033719626613,0.12239588288863625,III-A,0.477655609502784,III
