"sampleID","read_count","d_Eukaryota","p_Proteobacteria","c_Clostridia","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","g_Acinetobacter","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Alistipes","g_Alloprevotella","g_Anaerococcus","g_Anaeroglobus","g_Arcanobacterium","g_Bacteroides","g_Bulleidia","g_Campylobacter","g_Citrobacter","g_Corynebacterium","g_Cupriavidus","g_Delftia","g_Dialister","g_Enterobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Finegoldia","g_Fusobacterium","g_Gallicola","g_Gemella","g_Granulicatella","g_Haemophilus","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kluyvera","g_Kocuria","g_Lachnoclostridium","g_Lactobacillus","g_Lactococcus","g_Lawsonella","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Parvimonas","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Propionimicrobium","g_Proteus","g_Ralstonia","g_Rothia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Sutterella","g_Ureaplasma","g_Varibaculum","g_Variovorax","g_Veillonella","Atopobium_deltae","Atopobium_minutum","Atopobium_vaginae","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Lactobacillus_jensenii","Prevotella_amnii","Prevotella_bivia","Prevotella_buccalis","Prevotella_colorans","Prevotella_disiens","Prevotella_timonensis","Sneathia_amnii","Sneathia_sanguinegens"
"SRR2915655",6452,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4972,0,0,808,0,0,0,0,0,0,0,0,0
"SRR2915656",3737,0,2067,640,0,0,37,0,28,3,0,0,79,98,0,32,0,0,0,0,61,0,0,0,0,0,0,37,0,3,14,0,0,0,0,0,13,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,37,30,88,79,0,20,98,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,525,0
"SRR2915657",6499,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6190,0,0,0,0,0,0,0,0,0
"SRR2915658",4823,0,0,106,0,5,0,0,3,213,0,0,0,1415,0,0,0,411,0,0,12,0,206,0,14,0,0,0,0,0,13,0,0,0,0,19,0,0,741,5,0,3,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,213,0,0,14,0,19,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0,0,728,0,0
"SRR2915659",8571,0,0,7,0,0,12,0,0,76,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8174,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,74,0,0,0,0,0,4,0,0,0,0,8161,0,0,0,0,0,0,0,0,0
"SRR2915660",4683,0,30,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530,0,0,0,0,0,0,0,0,0,0,20,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
"SRR2915661",3817,0,3,513,0,0,0,3,0,324,0,0,0,404,0,213,0,0,0,0,39,0,0,0,0,140,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,320,0,0,66,70,194,0,0,4,404,0,0,0,0,1988,0,0,0,0,21,0,4,0,0,14,0,0,20,0,0,0,0,34,0,0,30,0,0,6,0,560,0
"SRR2915662",7497,0,0,24,0,0,0,0,0,0,0,0,0,1671,0,0,0,30,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,776,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1671,0,0,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,2660,0,0,0,0,222,0,0,443,0,0,0,0,0,133
"SRR2915663",4764,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,0,0,0,0,0,0,0,0,0,0,0,0,2172,0,0,0,0,0,0,0,0,0
"SRR2915664",6239,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,7,0,41,0,0,83,0,0,0,0,0,0,0,5840,0,0,0,0,0,0,0,0,0
